AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4185.128205,4202.435897,4192.435897,4199.615384,4146.282051,4160.769231,4131.794872,4167.948718,4181.410256,4147.051282,4088.589743,4421.282052,4307.051282,4226.282051
4188.846154,4205.128205,4201.538461,4207.435897,4142.179487,4169.102564,4133.717948,4170.384615,4184.230769,4146.025641,4089.871795,4430.769231,4309.230769,4229.230769
4188.589743,4208.589744,4199.230769,4212.820513,4144.871795,4170.769231,4136.538461,4169.487179,4184.102564,4147.564102,4091.025641,4437.179488,4305.384616,4230.128205
4186.282051,4216.666667,4198.846154,4224.871795,4140.897436,4169.102564,4141.282051,4168.461538,4181.410256,4145.769231,4090.51282,4445.769231,4293.974359,4227.564103
4190.641026,4223.205128,4209.74359,4233.974359,4145.128205,4175.51282,4149.74359,4176.794872,4183.589743,4144.871795,4092.179487,4460.384616,4293.974359,4232.820513
4200.769231,4230.25641,4222.307692,4239.74359,4147.948718,4183.461538,4154.871795,4184.230769,4190.897436,4146.410256,4101.923077,4476.666667,4306.282051,4244.74359
4209.615385,4241.282051,4231.794872,4253.974359,4140,4183.589743,4155.384615,4187.820513,4196.923077,4148.076923,4121.923077,4490.512821,4314.48718,4255
4218.333333,4251.538462,4246.153846,4268.846154,4142.820513,4184.871795,4162.307692,4198.205128,4206.025641,4148.717949,4139.102564,4502.435898,4311.410257,4265.512821
4229.74359,4260.128205,4261.282051,4277.564103,4144.615384,4193.589743,4170.641026,4206.153846,4219.102564,4146.923077,4144.871795,4516.666667,4311.282051,4275
4236.282051,4266.282051,4267.692308,4280.384615,4145.384615,4202.307692,4167.564102,4201.282051,4217.051282,4146.666666,4142.307692,4525.384616,4313.333333,4277.435898
4234.358974,4265.384615,4263.461538,4276.794872,4144.487179,4209.487179,4168.333333,4198.461538,4206.410256,4147.692307,4131.153846,4515.897436,4303.333333,4269.871795
4230.384615,4258.333333,4254.487179,4263.717949,4141.025641,4214.74359,4179.871795,4202.051282,4209.615385,4145.51282,4124.487179,4498.076924,4292.564103,4261.153846
4228.846154,4248.461538,4249.487179,4253.846154,4144.871795,4211.410256,4178.589743,4202.435897,4217.948718,4144.74359,4132.435897,4490.512821,4294.615385,4261.794872
4229.74359,4246.923077,4250.25641,4255.512821,4143.717949,4209.615385,4171.538461,4201.923077,4216.794872,4148.076923,4142.692307,4490.384616,4299.871795,4266.153846
4230.25641,4250.384615,4248.461538,4256.410256,4142.692307,4212.307692,4177.692308,4204.358974,4215.128205,4147.051282,4146.538461,4482.692308,4300.769231,4265.25641
4230,4248.076923,4243.076923,4245.769231,4142.179487,4210.128205,4182.435897,4207.820513,4220.641026,4143.717949,4153.461538,4469.615385,4307.820513,4260.641026
4228.717949,4244.358974,4240.769231,4234.74359,4138.205128,4202.948718,4178.205128,4213.589744,4227.051282,4146.923077,4158.461538,4460.897436,4315.512821,4258.846154
4228.461538,4243.589744,4237.051282,4231.794872,4144.487179,4203.846154,4179.871795,4217.692308,4229.74359,4150.897436,4161.153846,4459.102565,4314.48718,4263.846154
4233.717949,4245.128205,4235.384615,4234.358974,4145.641025,4211.794872,4187.435897,4218.974359,4233.205128,4148.717949,4167.948718,4459.23077,4315.128205,4271.025641
4235.128205,4244.487179,4238.461538,4233.589744,4142.692307,4215.897436,4188.589743,4220.641026,4233.461538,4146.666666,4164.358974,4453.333334,4311.794872,4270.641026
4225.897436,4238.974359,4232.948718,4225.769231,4143.974359,4211.410256,4183.333333,4218.589744,4226.538461,4147.820513,4153.461538,4441.923077,4297.179487,4262.435897
